# Measuring Scanner Data
# 
# Format Information:
# <distance> <rotation> <shift>
# Distance to Center: 0.2554

-0.024100006 0.0 0.0
-0.023499995 0.0 0.002
-0.023499995 0.0 0.004
-0.023900002 0.0 0.006
-0.03310001 0.0 0.008
-0.0352 0.0 0.010000001
-0.035799995 0.0 0.012
-0.037400007 0.0 0.014
-0.038300008 0.0 0.016
-0.0388 0.0 0.018000001
-0.039100006 0.0 0.020000001
-0.0397 0.0 0.022000002
-0.039900005 0.0 0.024
-0.0396 0.0 0.026
-0.0397 0.0 0.028
-0.039100006 0.0 0.030000001
-0.038499996 0.0 0.032
-0.038000003 0.0 0.034
-0.037699997 0.0 0.036000002
-0.037100002 0.0 0.038000003
-0.036400005 0.0 0.040000003
-0.036400005 0.0 0.042000003
-0.03570001 0.0 0.044000003
-0.034500003 0.0 0.046000004
-0.0326 0.0 0.048
-0.028500006 0.0 0.05
-0.027199998 0.0 0.052
-0.025600001 0.0 0.054
-0.023900002 0.0 0.056
-0.021500006 0.0 0.058000002
-0.019099995 0.0 0.060000002
-0.015599996 0.0 0.062000003
-0.016100004 0.0 0.064
-0.021799996 0.0 0.066
-0.022699997 0.0 0.068
-0.02520001 0.0 0.07
-0.028500006 0.0 0.072000004
-0.031399995 0.0 0.074
-0.03400001 0.0 0.076000005
-0.035099998 0.0 0.078
-0.0369 0.0 0.080000006
-0.0369 0.0 0.082
-0.029300004 0.0 0.08400001
-0.025800005 0.0 0.086
-0.0229 0.0 0.08800001
-0.02080001 0.0 0.09
-0.01640001 0.0 0.09200001
-0.015699998 0.0 0.094000004
-0.014500007 0.0 0.096
-0.0141 10.0 0.1
-0.014600009 10.0 0.098000005
-0.016800001 10.0 0.096
-0.020999998 10.0 0.094000004
-0.02520001 10.0 0.09200001
-0.0273 10.0 0.09
-0.032700002 10.0 0.08800001
-0.039200008 10.0 0.086
-0.038100004 10.0 0.08400001
-0.037100002 10.0 0.082
-0.036699995 10.0 0.080000006
-0.03400001 10.0 0.078
-0.0308 10.0 0.076000005
-0.028400004 10.0 0.074
-0.024900004 10.0 0.072000004
-0.021500006 10.0 0.07
-0.0202 10.0 0.068
-0.014400005 10.0 0.066
-0.015400007 10.0 0.064
-0.018199995 10.0 0.062000003
-0.021699995 10.0 0.060000002
-0.022500008 10.0 0.058000002
-0.023599997 10.0 0.056
-0.025800005 10.0 0.054
-0.027700007 10.0 0.052
-0.028300002 10.0 0.05
-0.031200007 10.0 0.048
-0.033000007 10.0 0.046000004
-0.034500003 10.0 0.044000003
-0.03570001 10.0 0.042000003
-0.035600007 10.0 0.040000003
-0.036699995 10.0 0.038000003
-0.0369 10.0 0.036000002
-0.037400007 10.0 0.034
-0.0378 10.0 0.032
