# Measuring Scanner Data
# 
# Format Information:
# <distance> <rotation> <shift>
# Distance to Center: 0.2554

-0.032700002 0.0 0.0
-0.032700002 0.0 0.001
-0.032700002 0.0 0.002
-0.0335 0.0 0.003
-0.0335 0.0 0.004
-0.0404 0.0 0.0050000004
-0.0404 0.0 0.006
-0.04280001 0.0 0.007
-0.04280001 0.0 0.008
-0.0441 0.0 0.009000001
-0.0458 0.0 0.010000001
-0.0458 0.0 0.011000001
-0.047100008 0.0 0.012
-0.047100008 0.0 0.013
-0.048199996 0.0 0.014
-0.048199996 0.0 0.015000001
-0.048700005 0.0 0.016
-0.0492 0.0 0.017
-0.0492 0.0 0.018000001
-0.0501 0.0 0.019000001
-0.049899995 0.0 0.020000001
-0.049099997 0.0 0.021000002
-0.0484 0.0 0.022000002
-0.04720001 0.0 0.023000002
-0.045300007 0.0 0.024
-0.045300007 0.0 0.025
-0.0449 0.0 0.026
-0.04450001 0.0 0.027
-0.044300005 0.0 0.028
-0.04450001 0.0 0.029000001
-0.043899998 0.0 0.030000001
-0.044300005 0.0 0.031000001
-0.043300003 0.0 0.032
-0.0422 0.0 0.033
-0.039399996 0.0 0.034
-0.026600003 0.0 0.035
-0.026600003 0.0 0.036000002
-0.0058999956 0.0 0.037
-0.0055000037 0.0 0.038000003
-0.004700005 0.0 0.039
-0.0038000047 0.0 0.040000003
-0.0013999939 0.0 0.041
0.0018000007 0.0 0.042000003
0.0018999875 0.0 0.043
0.0013000071 0.0 0.044000003
9.998679E-5 0.0 0.045
-1.00016594E-4 0.0 0.046000004
-0.0018000007 0.0 0.047000002
-0.0018000007 0.0 0.048
-0.0029999912 0.0 0.049000002
-0.0033000112 0.0 0.05
-0.004099995 0.0 0.051000003
-0.004400015 0.0 0.052
-0.0051999986 0.0 0.053000003
-0.0049000084 0.0 0.054
-0.0055000037 0.0 0.055000003
-0.0051999986 0.0 0.056
-0.005100012 0.0 0.057000004
-0.004999995 0.0 0.058000002
-0.0049000084 0.0 0.059000004
-0.0051999986 0.0 0.060000002
-0.0045999885 0.0 0.061000004
-0.0045999885 0.0 0.062000003
-0.0045000017 0.0 0.063
-0.004400015 0.0 0.064
-0.004999995 0.0 0.065000005
-0.004700005 0.0 0.066
-0.004799992 0.0 0.067
-0.005400002 0.0 0.068
-0.0056000054 0.0 0.069000006
-0.0065000057 0.0 0.07
-0.0065000057 0.0 0.071
-0.0065000057 0.0 0.072000004
-0.0211 0.0 0.07300001
-0.021400005 0.0 0.074
-0.021400005 0.0 0.075
-0.021799996 0.0 0.076000005
-0.021799996 0.0 0.07700001
-0.022599995 0.0 0.078
-0.024499997 0.0 0.079
-0.025100008 0.0 0.080000006
