# Point cloud data.
# File created by cg software.
# (C) Hochschule f√ºr Angewandte Wissenschaften, Hamburg.
#
# Format: pos0; Ñpos1; Ñpos2; Ñnor0; Ñnor1; Ñnor2
#
-0,000093; Ñ0,000000; Ñ0,009068; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,001000; Ñ0,009068; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,002000; Ñ0,009068; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,003000; Ñ0,009068; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,004000; Ñ-0,035432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,005000; Ñ-0,037432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,006000; Ñ-0,037432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,007000; Ñ-0,038832; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,008000; Ñ-0,038832; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,009000; Ñ-0,039432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,010000; Ñ-0,039832; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,011000; Ñ-0,039832; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,012000; Ñ-0,040632; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,013000; Ñ-0,040332; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,014000; Ñ-0,040332; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,015000; Ñ-0,038432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,016000; Ñ-0,037732; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,017000; Ñ-0,037232; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,018000; Ñ-0,037432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,019000; Ñ-0,036432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,020000; Ñ-0,035832; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,021000; Ñ-0,034732; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,022000; Ñ-0,034032; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,023000; Ñ-0,033132; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,024000; Ñ-0,032332; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,025000; Ñ-0,032732; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,026000; Ñ-0,030432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,027000; Ñ-0,028432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,028000; Ñ-0,025932; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,029000; Ñ-0,025932; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,030000; Ñ-0,020732; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,031000; Ñ-0,020732; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,032000; Ñ-0,016632; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,033000; Ñ-0,016632; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,034000; Ñ-0,008632; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,035000; Ñ-0,006832; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,036000; Ñ-0,005832; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,037000; Ñ-0,005432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,038000; Ñ-0,004732; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,039000; Ñ-0,000932; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,040000; Ñ0,000468; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,041000; Ñ0,000668; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,042000; Ñ0,000368; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,043000; Ñ-0,000532; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,044000; Ñ-0,001232; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,045000; Ñ-0,001932; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,046000; Ñ-0,002732; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,047000; Ñ-0,003632; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,048000; Ñ-0,004132; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,049000; Ñ-0,004432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,050000; Ñ-0,004732; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,051000; Ñ-0,004832; Ñ0,000000; Ñ0,000000; Ñ0,000000
