# Measuring Scanner Data
# 
# Format Information:
# <distance> <rotation> <shift>
# Distance to Center: 0.2554

0.2187 0.0 0.0
0.2187 0.0 0.001
0.2244 0.0 0.002
0.2244 0.0 0.003
0.2252 0.0 0.004
0.2252 0.0 0.0050000004
0.2259 0.0 0.006
0.2259 0.0 0.007
0.2259 0.0 0.008
0.2259 0.0 0.009000001
0.2257 0.0 0.010000001
0.2257 0.0 0.011000001
0.2259 0.0 0.012
0.2259 0.0 0.013
0.2256 0.0 0.014
0.2256 0.0 0.015000001
0.2258 0.0 0.016
0.2258 0.0 0.017
0.2259 0.0 0.018000001
0.2259 0.0 0.019000001
0.2259 0.0 0.020000001
0.2259 0.0 0.021000002
0.226 0.0 0.022000002
0.226 0.0 0.023000002
0.226 0.0 0.024
0.2263 0.0 0.025
0.2263 0.0 0.026
0.226 0.0 0.027
0.226 0.0 0.028
0.2262 0.0 0.029000001
0.2262 0.0 0.030000001
0.2261 0.0 0.031000001
0.2261 0.0 0.032
0.2262 0.0 0.033
0.2262 0.0 0.034
0.2269 0.0 0.035
0.8658 0.0 0.036000002
0.8712 0.0 0.037
0.8718 0.0 0.038000003
0.8716 0.0 0.039
0.8718 0.0 0.040000003
0.872 0.0 0.041
0.872 0.0 0.042000003
0.8721 0.0 0.043
0.8722 0.0 0.044000003
0.872 0.0 0.045
0.8721 0.0 0.046000004
0.8721 0.0 0.047000002
0.8721 0.0 0.048
0.8719 0.0 0.049000002
0.8721 8.0 0.05
0.8721 8.0 0.049000002
0.8722 8.0 0.048
0.872 8.0 0.047000002
0.8719 8.0 0.046000004
0.8719 8.0 0.045
0.8721 8.0 0.044000003
0.8718 8.0 0.043
0.8721 8.0 0.042000003
0.8717 8.0 0.041
0.8719 8.0 0.040000003
0.872 8.0 0.039
0.8717 8.0 0.038000003
0.857 8.0 0.037
0.857 8.0 0.036000002
0.2268 8.0 0.035
0.2268 8.0 0.034
0.2265 8.0 0.033
0.2267 8.0 0.032
0.2267 8.0 0.031000001
0.2265 8.0 0.030000001
0.2265 8.0 0.029000001
0.2267 8.0 0.028
0.2267 8.0 0.027
0.2261 8.0 0.026
0.2261 8.0 0.025
0.2264 8.0 0.024
0.2264 8.0 0.023000002
0.2268 8.0 0.022000002
0.2268 8.0 0.021000002
0.2265 8.0 0.020000001
0.2265 8.0 0.019000001
0.2263 8.0 0.018000001
0.2263 8.0 0.017
0.2262 8.0 0.016
0.2262 8.0 0.015000001
0.2264 8.0 0.014
0.2264 8.0 0.013
0.226 8.0 0.012
0.226 8.0 0.011000001
0.2262 8.0 0.010000001
0.2262 8.0 0.009000001
0.2263 8.0 0.008
0.2263 8.0 0.007
0.2262 8.0 0.006
0.2262 8.0 0.0050000004
0.2258 8.0 0.004
0.2258 8.0 0.003
0.2248 8.0 0.002
0.2207 8.0 0.001
0.2214 16.0 0.0
0.2221 16.0 0.001
0.2253 16.0 0.002
0.2253 16.0 0.003
0.2259 16.0 0.004
0.2266 16.0 0.0050000004
0.2266 16.0 0.006
0.2271 16.0 0.007
0.2271 16.0 0.008
0.2273 16.0 0.009000001
0.2273 16.0 0.010000001
0.2273 16.0 0.011000001
0.2266 16.0 0.012
0.2266 16.0 0.013
0.2267 16.0 0.014
0.2267 16.0 0.015000001
0.2264 16.0 0.016
0.2264 16.0 0.017
0.2269 16.0 0.018000001
0.2269 16.0 0.019000001
0.2274 16.0 0.020000001
0.2274 16.0 0.021000002
0.2265 16.0 0.022000002
0.2265 16.0 0.023000002
0.2269 16.0 0.024
0.2269 16.0 0.025
0.2266 16.0 0.026
0.2266 16.0 0.027
0.227 16.0 0.028
0.2267 16.0 0.029000001
0.2267 16.0 0.030000001
0.2268 16.0 0.031000001
0.2268 16.0 0.032
0.2268 16.0 0.033
0.2268 16.0 0.034
0.229 16.0 0.035
0.229 16.0 0.036000002
0.8714 16.0 0.037
0.8722 16.0 0.038000003
0.8719 16.0 0.039
0.8718 16.0 0.040000003
0.872 16.0 0.041
0.8718 16.0 0.042000003
0.8721 16.0 0.043
0.8722 16.0 0.044000003
0.872 16.0 0.045
0.872 16.0 0.046000004
0.8722 16.0 0.047000002
0.8722 16.0 0.048
0.8722 24.0 0.05
0.8721 24.0 0.049000002
0.8721 24.0 0.048
0.8722 24.0 0.047000002
0.872 24.0 0.046000004
0.8722 24.0 0.045
0.8722 24.0 0.044000003
0.872 24.0 0.043
0.872 24.0 0.042000003
0.8716 24.0 0.041
0.8719 24.0 0.040000003
0.8719 24.0 0.039
0.8714 24.0 0.038000003
0.8675 24.0 0.037
0.8675 24.0 0.036000002
0.8675 24.0 0.035
0.8675 24.0 0.034
0.2273 24.0 0.033
0.2275 24.0 0.032
0.2275 24.0 0.031000001
0.2276 24.0 0.030000001
0.2276 24.0 0.029000001
0.2276 24.0 0.028
0.2276 24.0 0.027
0.2271 24.0 0.026
0.2271 24.0 0.025
0.2272 24.0 0.024
0.2272 24.0 0.023000002
0.2273 24.0 0.022000002
0.2273 24.0 0.021000002
0.2276 24.0 0.020000001
0.2276 24.0 0.019000001
0.2275 24.0 0.018000001
0.2275 24.0 0.017
0.2276 24.0 0.016
0.2276 24.0 0.015000001
0.227 24.0 0.014
0.227 24.0 0.013
0.2273 24.0 0.012
0.2273 24.0 0.011000001
0.2272 24.0 0.010000001
0.2279 24.0 0.009000001
0.2279 24.0 0.008
0.2276 24.0 0.007
0.2276 24.0 0.006
0.2271 24.0 0.0050000004
0.2271 24.0 0.004
0.2264 24.0 0.003
0.2264 24.0 0.002
0.2223 24.0 0.001
0.2217 32.0 0.0
0.2236 32.0 0.001
0.2236 32.0 0.002
0.2266 32.0 0.003
