# Measuring Scanner Data
# 
# Format Information:
# <distance> <rotation> <shift>
# Distance to Center: 0.2554

-0.030599996 0.0 0.0
-0.030599996 8.0 0.0
-0.030599996 16.0 0.0
-0.027199998 24.0 0.0
-0.025600001 32.0 0.0
-0.024200007 40.0 0.0
-0.021600008 48.0 0.0
-0.0202 56.0 0.0
-0.019199997 64.0 0.0
-0.018900007 72.0 0.0
-0.017900005 80.0 0.0
-0.0176 88.0 0.0
-0.016900003 96.0 0.0
-0.0167 104.0 0.0
-0.016200006 112.0 0.0
-0.016200006 120.0 0.0
-0.01640001 128.0 0.0
-0.016300008 136.0 0.0
-0.016300008 144.0 0.0
-0.017700002 152.0 0.0
-0.017700002 160.0 0.0
-0.019500002 168.0 0.0
-0.019500002 176.0 0.0
-0.020700008 184.0 0.0
-0.020700008 192.0 0.0
-0.024100006 200.0 0.0
-0.024100006 208.0 0.0
-0.027700007 216.0 0.0
-0.027700007 224.0 0.0
-0.030699998 232.0 0.0
-0.03310001 240.0 0.0
-0.03310001 248.0 0.0
-0.035600007 256.0 0.0
-0.0369 264.0 0.0
-0.0369 272.0 0.0
-0.038100004 280.0 0.0
-0.038300008 288.0 0.0
-0.038200006 296.0 0.0
-0.0379 304.0 0.0
-0.037 312.0 0.0
-0.036 320.0 0.0
-0.035500005 328.0 0.0
-0.0344 336.0 0.0
-0.033299997 344.0 0.0
