# Measuring Scanner Data
# 
# Format Information:
# <distance> <rotation> <shift>
# Distance to Center: 0.2554

0.2255 0.0 0.0
0.2255 8.0 0.0
0.2293 16.0 0.0
0.2307 24.0 0.0
0.2313 32.0 0.0
0.233 40.0 0.0
0.2338 48.0 0.0
0.2345 56.0 0.0
0.2358 64.0 0.0
0.2364 72.0 0.0
0.2377 80.0 0.0
0.2381 88.0 0.0
0.2381 96.0 0.0
0.2386 104.0 0.0
0.2389 112.0 0.0
0.2391 120.0 0.0
0.2391 128.0 0.0
0.2385 136.0 0.0
0.2385 144.0 0.0
0.237 152.0 0.0
0.2364 160.0 0.0
0.2364 168.0 0.0
0.2342 176.0 0.0
0.2342 184.0 0.0
0.2318 192.0 0.0
0.2318 200.0 0.0
0.2286 208.0 0.0
0.2255 216.0 0.0
0.2255 224.0 0.0
0.2233 232.0 0.0
0.2233 240.0 0.0
0.2206 248.0 0.0
0.2187 256.0 0.0
0.2187 264.0 0.0
0.2175 272.0 0.0
0.217 280.0 0.0
0.2167 288.0 0.0
0.2167 296.0 0.0
0.2172 304.0 0.0
0.218 312.0 0.0
0.2188 320.0 0.0
0.22 328.0 0.0
0.2206 336.0 0.0
0.2217 344.0 0.0
