# Measuring Scanner Data
# 
# Format Information:
# <distance> <rotation> <shift>
# Distance to Center: 0.2554

-0.034099996 0.0 0.0
-0.027199998 0.0 0.002
-0.027199998 0.0 0.004
-0.0273 0.0 0.006
-0.0273 0.0 0.008
-0.0264 0.0 0.010000001
-0.026500002 0.0 0.012
-0.026500002 0.0 0.014
-0.026900008 0.0 0.016
-0.026900008 0.0 0.018000001
-0.026299998 0.0 0.020000001
-0.0264 0.0 0.022000002
-0.0264 0.0 0.024
-0.026600003 0.0 0.026
-0.026500002 0.0 0.028
-0.026500002 0.0 0.030000001
-0.026600003 0.0 0.032
-0.026600003 0.0 0.034
-0.026099995 0.0 0.036000002
-0.025800005 0.0 0.038000003
-0.025800005 0.0 0.040000003
-0.026500002 0.0 0.042000003
-0.026500002 0.0 0.044000003
0.7039 0.0 0.046000004
0.70419997 0.0 0.048
0.7043 8.0 0.052
0.7045 8.0 0.05
0.7041 8.0 0.048
0.7041 8.0 0.046000004
0.7041 8.0 0.044000003
-0.023499995 8.0 0.042000003
-0.023499995 8.0 0.040000003
-0.024100006 8.0 0.038000003
-0.024499997 8.0 0.036000002
-0.024499997 8.0 0.034
-0.024200007 8.0 0.032
-0.023699999 8.0 0.030000001
-0.023699999 8.0 0.028
-0.023699999 8.0 0.026
-0.024399996 8.0 0.024
-0.024399996 8.0 0.022000002
-0.023599997 8.0 0.020000001
-0.023300007 8.0 0.018000001
-0.023300007 8.0 0.016
-0.024000004 8.0 0.014
-0.024000004 8.0 0.012
-0.023699999 8.0 0.010000001
-0.024000004 8.0 0.008
-0.024000004 8.0 0.006
-0.024800003 8.0 0.004
-0.035099998 8.0 0.002
-0.027199998 16.0 0.0
-0.023300007 16.0 0.002
-0.023300007 16.0 0.004
-0.021899998 16.0 0.006
-0.021899998 16.0 0.008
-0.022100002 16.0 0.010000001
-0.021600008 16.0 0.012
-0.021600008 16.0 0.014
-0.022 16.0 0.016
-0.021899998 16.0 0.018000001
-0.021899998 16.0 0.020000001
-0.022200003 16.0 0.022000002
-0.021899998 16.0 0.024
-0.021899998 16.0 0.026
-0.022 16.0 0.028
-0.021500006 16.0 0.030000001
-0.021500006 16.0 0.032
-0.021799996 16.0 0.034
-0.022300005 16.0 0.036000002
-0.022300005 16.0 0.038000003
-0.022 16.0 0.040000003
-0.022100002 16.0 0.042000003
-0.022100002 16.0 0.044000003
-0.022100002 16.0 0.046000004
0.7044 16.0 0.048
0.7046 24.0 0.052
0.7044 24.0 0.05
0.702 24.0 0.048
-0.0202 24.0 0.046000004
-0.0202 24.0 0.044000003
-0.020400003 24.0 0.042000003
-0.020400003 24.0 0.040000003
-0.020400003 24.0 0.038000003
-0.020099998 24.0 0.036000002
-0.019999996 24.0 0.034
-0.019999996 24.0 0.032
-0.019999996 24.0 0.030000001
-0.0202 24.0 0.028
-0.0202 24.0 0.026
-0.0202 24.0 0.024
-0.020400003 24.0 0.022000002
-0.0202 24.0 0.020000001
-0.0202 24.0 0.018000001
-0.020099998 24.0 0.016
-0.020099998 24.0 0.014
-0.020099998 24.0 0.012
-0.019999996 24.0 0.010000001
-0.019999996 24.0 0.008
-0.019999996 24.0 0.006
-0.021300003 24.0 0.004
-0.017900005 32.0 0.0
-0.019199997 32.0 0.002
-0.019199997 32.0 0.004
-0.018100008 32.0 0.006
-0.018000007 32.0 0.008
-0.018000007 32.0 0.010000001
-0.018100008 32.0 0.012
-0.018299997 32.0 0.014
-0.018299997 32.0 0.016
-0.018199995 32.0 0.018000001
-0.018199995 32.0 0.020000001
-0.018000007 32.0 0.022000002
-0.0176 32.0 0.024
-0.0176 32.0 0.026
-0.0185 32.0 0.028
-0.018199995 32.0 0.030000001
-0.0185 32.0 0.032
-0.0185 32.0 0.034
-0.017900005 32.0 0.036000002
-0.018600002 32.0 0.038000003
-0.018600002 32.0 0.040000003
-0.018700004 32.0 0.042000003
-0.018800005 32.0 0.044000003
0.7027 32.0 0.046000004
0.7044 32.0 0.048
0.7045 40.0 0.052
0.704 40.0 0.05
0.7023 40.0 0.048
-0.014200002 40.0 0.046000004
-0.016599998 40.0 0.044000003
-0.016599998 40.0 0.042000003
-0.01640001 40.0 0.040000003
-0.016800001 40.0 0.038000003
-0.017000005 40.0 0.036000002
-0.017000005 40.0 0.034
-0.016599998 40.0 0.032
-0.016900003 40.0 0.030000001
-0.016499996 40.0 0.028
-0.016300008 40.0 0.026
-0.016599998 40.0 0.024
-0.016599998 40.0 0.022000002
-0.01640001 40.0 0.020000001
-0.016800001 40.0 0.018000001
-0.016499996 40.0 0.016
-0.016499996 40.0 0.014
-0.016599998 40.0 0.012
-0.016300008 40.0 0.010000001
-0.016499996 40.0 0.008
-0.016900003 40.0 0.006
-0.016900003 40.0 0.004
-0.015500009 40.0 0.002
6.0001016E-4 48.0 0.0
-0.0022999942 48.0 0.002
-0.015100002 48.0 0.004
-0.015100002 48.0 0.006
-0.015100002 48.0 0.008
-0.015400007 48.0 0.010000001
-0.015300006 48.0 0.012
-0.015300006 48.0 0.014
-0.015000001 48.0 0.016
-0.015200004 48.0 0.018000001
-0.015100002 48.0 0.020000001
-0.015200004 48.0 0.022000002
-0.015100002 48.0 0.024
-0.015100002 48.0 0.026
-0.015300006 48.0 0.028
-0.015699998 48.0 0.030000001
-0.015200004 48.0 0.032
-0.015300006 48.0 0.034
-0.015300006 48.0 0.036000002
-0.015200004 48.0 0.038000003
-0.015200004 48.0 0.040000003
-0.015300006 48.0 0.042000003
-0.016100004 48.0 0.044000003
-0.016100004 48.0 0.046000004
0.7045 48.0 0.048
0.7045 56.0 0.052
0.7039 56.0 0.05
0.698 56.0 0.048
-0.0013999939 56.0 0.046000004
-0.014200002 56.0 0.044000003
-0.014400005 56.0 0.042000003
-0.013999999 56.0 0.040000003
-0.014200002 56.0 0.038000003
-0.013600007 56.0 0.036000002
-0.013600007 56.0 0.034
-0.013899997 56.0 0.032
-0.0141 56.0 0.030000001
-0.013999999 56.0 0.028
-0.013999999 56.0 0.026
-0.013999999 56.0 0.024
-0.0141 56.0 0.022000002
-0.013999999 56.0 0.020000001
-0.013999999 56.0 0.018000001
-0.013899997 56.0 0.016
-0.0141 56.0 0.014
-0.013700008 56.0 0.012
-0.013600007 56.0 0.010000001
-0.013999999 56.0 0.008
-0.0141 56.0 0.006
-0.013999999 56.0 0.004
0.045599997 64.0 0.0
-0.012199998 64.0 0.002
-0.012800008 64.0 0.004
-0.012600005 64.0 0.006
-0.012700006 64.0 0.008
-0.012700006 64.0 0.010000001
-0.012999997 64.0 0.012
-0.012899995 64.0 0.014
-0.013099998 64.0 0.016
-0.012999997 64.0 0.018000001
-0.012899995 64.0 0.020000001
-0.012800008 64.0 0.022000002
-0.012800008 64.0 0.024
-0.0132 64.0 0.026
-0.013099998 64.0 0.028
-0.012999997 64.0 0.030000001
-0.012899995 64.0 0.032
-0.012800008 64.0 0.034
-0.012800008 64.0 0.036000002
-0.0132 64.0 0.038000003
-0.013300002 64.0 0.040000003
-0.013400003 64.0 0.042000003
-0.013600007 64.0 0.044000003
-0.013600007 64.0 0.046000004
0.7046 64.0 0.048
0.7044 64.0 0.05
0.7045 72.0 0.052
0.7035 72.0 0.05
0.6522 72.0 0.048
-0.012999997 72.0 0.046000004
-0.012700006 72.0 0.044000003
-0.012000009 72.0 0.042000003
-0.012099996 72.0 0.040000003
-0.012099996 72.0 0.038000003
-0.0123 72.0 0.036000002
-0.012600005 72.0 0.034
-0.012600005 72.0 0.032
-0.011900008 72.0 0.030000001
-0.012199998 72.0 0.028
-0.012199998 72.0 0.026
-0.012099996 72.0 0.024
-0.011900008 72.0 0.022000002
-0.012000009 72.0 0.020000001
-0.012099996 72.0 0.018000001
-0.011500001 72.0 0.016
-0.012000009 72.0 0.014
-0.012000009 72.0 0.012
-0.011600003 72.0 0.010000001
-0.011900008 72.0 0.008
-0.011700004 72.0 0.006
-0.011700004 72.0 0.004
0.6354 80.0 0.0
0.6267 80.0 0.002
0.6267 80.0 0.004
-0.011500001 80.0 0.006
-0.011000007 80.0 0.008
-0.011199996 80.0 0.010000001
-0.011399999 80.0 0.012
-0.011100009 80.0 0.014
-0.011100009 80.0 0.016
-0.011199996 80.0 0.018000001
-0.011100009 80.0 0.020000001
-0.011199996 80.0 0.022000002
-0.011600003 80.0 0.024
-0.011800006 80.0 0.026
-0.011600003 80.0 0.028
-0.011600003 80.0 0.030000001
-0.011600003 80.0 0.032
-0.011700004 80.0 0.034
-0.012000009 80.0 0.036000002
-0.011399999 80.0 0.038000003
-0.011500001 80.0 0.040000003
-0.011700004 80.0 0.042000003
-0.012000009 80.0 0.044000003
-0.0045999885 80.0 0.046000004
0.70419997 80.0 0.048
0.7044 80.0 0.05
0.7045 88.0 0.052
0.6989 88.0 0.05
0.6989 88.0 0.048
-0.011700004 88.0 0.046000004
-0.011700004 88.0 0.044000003
-0.011299998 88.0 0.042000003
-0.010600001 88.0 0.040000003
-0.010800004 88.0 0.038000003
-0.010800004 88.0 0.036000002
-0.010900006 88.0 0.034
-0.010900006 88.0 0.032
-0.011199996 88.0 0.030000001
-0.010700002 88.0 0.028
-0.010700002 88.0 0.026
-0.010700002 88.0 0.024
-0.010800004 88.0 0.022000002
-0.011299998 88.0 0.020000001
-0.010600001 88.0 0.018000001
-0.010600001 88.0 0.016
-0.011000007 88.0 0.014
-0.011399999 88.0 0.012
-0.010700002 88.0 0.010000001
-0.010700002 88.0 0.008
-0.011100009 88.0 0.006
-0.011100009 88.0 0.004
0.6351 88.0 0.002
0.6353 96.0 0.0
0.634 96.0 0.002
0.5024 96.0 0.004
-0.010499999 96.0 0.006
-0.010499999 96.0 0.008
-0.010299996 96.0 0.010000001
-0.010200009 96.0 0.012
-0.010700002 96.0 0.014
-0.010700002 96.0 0.016
-0.010700002 96.0 0.018000001
-0.010499999 96.0 0.020000001
-0.010499999 96.0 0.022000002
-0.010800004 96.0 0.024
-0.010800004 96.0 0.026
-0.010600001 96.0 0.028
-0.010600001 96.0 0.030000001
-0.011000007 96.0 0.032
-0.010800004 96.0 0.034
-0.010800004 96.0 0.036000002
-0.010800004 96.0 0.038000003
-0.011000007 96.0 0.040000003
-0.011000007 96.0 0.042000003
-0.011299998 96.0 0.044000003
0.016299993 96.0 0.046000004
0.7041 96.0 0.048
0.7043 96.0 0.05
0.7043 104.0 0.052
0.7037 104.0 0.05
0.6979 104.0 0.048
-0.0027999878 104.0 0.046000004
-0.010600001 104.0 0.044000003
-0.010600001 104.0 0.042000003
-0.010600001 104.0 0.040000003
-0.009900004 104.0 0.038000003
-0.009900004 104.0 0.036000002
-0.010399997 104.0 0.034
-0.010000005 104.0 0.032
-0.010000005 104.0 0.030000001
-0.010299996 104.0 0.028
-0.010299996 104.0 0.026
-0.010000005 104.0 0.024
-0.010000005 104.0 0.022000002
-0.010000005 104.0 0.020000001
-0.009900004 104.0 0.018000001
-0.010100007 104.0 0.016
-0.010100007 104.0 0.014
-0.010200009 104.0 0.012
-0.010200009 104.0 0.010000001
-0.010299996 104.0 0.008
-0.010700002 104.0 0.006
0.6308 104.0 0.004
0.6354 104.0 0.002
0.6356 112.0 0.0
0.6347 112.0 0.002
0.6347 112.0 0.004
0.6347 112.0 0.006
-0.009900004 112.0 0.008
-0.009900004 112.0 0.010000001
-0.010100007 112.0 0.012
-0.010100007 112.0 0.014
-0.010100007 112.0 0.016
-0.010499999 112.0 0.018000001
-0.010499999 112.0 0.020000001
-0.010299996 112.0 0.022000002
-0.010299996 112.0 0.024
-0.010100007 112.0 0.026
-0.010100007 112.0 0.028
-0.010399997 112.0 0.030000001
-0.010299996 112.0 0.032
-0.010299996 112.0 0.034
-0.010299996 112.0 0.036000002
-0.010299996 112.0 0.038000003
-0.010100007 112.0 0.040000003
-0.011100009 112.0 0.042000003
-0.011100009 112.0 0.044000003
0.0076999962 112.0 0.046000004
0.7043 112.0 0.048
0.7045 120.0 0.052
0.7039 120.0 0.05
0.7014 120.0 0.048
-0.006700009 120.0 0.046000004
-0.011199996 120.0 0.044000003
-0.011199996 120.0 0.042000003
-0.010600001 120.0 0.040000003
-0.010600001 120.0 0.038000003
-0.010900006 120.0 0.036000002
-0.010900006 120.0 0.034
-0.010399997 120.0 0.032
-0.010600001 120.0 0.030000001
-0.010600001 120.0 0.028
-0.010600001 120.0 0.026
-0.010600001 120.0 0.024
-0.010600001 120.0 0.022000002
-0.010600001 120.0 0.020000001
-0.010299996 120.0 0.018000001
-0.010299996 120.0 0.016
-0.010499999 120.0 0.014
-0.010499999 120.0 0.012
-0.010100007 120.0 0.010000001
-0.010100007 120.0 0.008
-0.010499999 120.0 0.006
0.6331 120.0 0.004
0.6352 120.0 0.002
0.6352 128.0 0.0
0.6344 128.0 0.002
0.4705 128.0 0.004
0.4705 128.0 0.006
-0.010299996 128.0 0.008
-0.010299996 128.0 0.010000001
-0.010100007 128.0 0.012
-0.010100007 128.0 0.014
-0.011000007 128.0 0.016
-0.011000007 128.0 0.018000001
-0.010600001 128.0 0.020000001
-0.010600001 128.0 0.022000002
-0.011000007 128.0 0.024
-0.011000007 128.0 0.026
-0.010399997 128.0 0.028
-0.010399997 128.0 0.030000001
-0.011100009 128.0 0.032
-0.011100009 128.0 0.034
-0.010800004 128.0 0.036000002
-0.011100009 128.0 0.038000003
-0.011100009 128.0 0.040000003
-0.011399999 128.0 0.042000003
-0.011399999 128.0 0.044000003
-0.011399999 128.0 0.046000004
0.7045 128.0 0.048
0.7045 128.0 0.05
0.7044 136.0 0.052
0.7036 136.0 0.05
0.7036 136.0 0.048
0.7036 136.0 0.046000004
-0.011500001 136.0 0.044000003
-0.011500001 136.0 0.042000003
-0.011399999 136.0 0.040000003
-0.011399999 136.0 0.038000003
-0.011199996 136.0 0.036000002
-0.011199996 136.0 0.034
-0.011199996 136.0 0.032
-0.011199996 136.0 0.030000001
-0.011500001 136.0 0.028
-0.011500001 136.0 0.026
-0.010299996 136.0 0.024
-0.010299996 136.0 0.022000002
-0.011000007 136.0 0.020000001
-0.011000007 136.0 0.018000001
-0.010700002 136.0 0.016
-0.010700002 136.0 0.014
-0.010399997 136.0 0.012
-0.010399997 136.0 0.010000001
-0.010399997 136.0 0.008
-0.010800004 136.0 0.006
-0.010800004 136.0 0.004
0.025900006 144.0 0.0
-0.004700005 144.0 0.002
-0.004700005 144.0 0.004
-0.011100009 144.0 0.006
-0.011100009 144.0 0.008
-0.011100009 144.0 0.010000001
-0.011199996 144.0 0.012
-0.011199996 144.0 0.014
-0.011399999 144.0 0.016
-0.011399999 144.0 0.018000001
-0.011600003 144.0 0.020000001
-0.011600003 144.0 0.022000002
-0.011600003 144.0 0.024
-0.011600003 144.0 0.026
-0.012000009 144.0 0.028
-0.012000009 144.0 0.030000001
-0.011800006 144.0 0.032
-0.011800006 144.0 0.034
-0.011600003 144.0 0.036000002
-0.011600003 144.0 0.038000003
-0.012099996 144.0 0.040000003
-0.012099996 144.0 0.042000003
-0.012899995 144.0 0.044000003
0.7029 144.0 0.046000004
0.7043 144.0 0.048
0.70419997 152.0 0.052
0.7039 152.0 0.05
0.70239997 152.0 0.048
0.70239997 152.0 0.046000004
-0.012999997 152.0 0.044000003
-0.012999997 152.0 0.042000003
-0.012899995 152.0 0.040000003
-0.012899995 152.0 0.038000003
-0.012500003 152.0 0.036000002
-0.012500003 152.0 0.034
-0.012800008 152.0 0.032
-0.012800008 152.0 0.030000001
-0.012500003 152.0 0.028
-0.012500003 152.0 0.026
-0.012500003 152.0 0.024
-0.012500003 152.0 0.022000002
-0.012600005 152.0 0.020000001
-0.012600005 152.0 0.018000001
-0.011900008 152.0 0.016
-0.011900008 152.0 0.014
-0.011900008 152.0 0.012
-0.012199998 152.0 0.010000001
-0.012199998 152.0 0.008
-0.013099998 152.0 0.006
-0.013099998 152.0 0.004
0.017499983 152.0 0.002
0.014800012 160.0 0.0
0.014800012 160.0 0.002
0.014800012 160.0 0.004
-0.012899995 160.0 0.006
-0.012899995 160.0 0.008
-0.012700006 160.0 0.010000001
-0.012700006 160.0 0.012
-0.012700006 160.0 0.014
-0.013600007 160.0 0.016
-0.013600007 160.0 0.018000001
-0.013700008 160.0 0.020000001
-0.013700008 160.0 0.022000002
-0.013700008 160.0 0.024
-0.013700008 160.0 0.026
-0.013700008 160.0 0.028
-0.013700008 160.0 0.030000001
-0.013700008 160.0 0.032
-0.013799995 160.0 0.034
-0.013799995 160.0 0.036000002
-0.013799995 160.0 0.038000003
-0.013799995 160.0 0.040000003
-0.013799995 160.0 0.042000003
-0.013799995 160.0 0.044000003
-0.013799995 160.0 0.046000004
0.7044 160.0 0.048
0.7044 160.0 0.05
0.7044 168.0 0.052
0.70419997 168.0 0.05
0.7026 168.0 0.048
0.7026 168.0 0.046000004
-0.016300008 168.0 0.044000003
-0.016300008 168.0 0.042000003
-0.015699998 168.0 0.040000003
-0.015699998 168.0 0.038000003
-0.015000001 168.0 0.036000002
-0.015000001 168.0 0.034
-0.015300006 168.0 0.032
-0.015300006 168.0 0.030000001
-0.014899999 168.0 0.028
-0.014899999 168.0 0.026
-0.015400007 168.0 0.024
-0.015400007 168.0 0.022000002
-0.015400007 168.0 0.020000001
-0.015300006 168.0 0.018000001
-0.015300006 168.0 0.016
-0.015300006 168.0 0.014
-0.015300006 168.0 0.012
-0.014799997 168.0 0.010000001
-0.014799997 168.0 0.008
-0.014799997 168.0 0.006
-0.014500007 168.0 0.004
0.017800003 168.0 0.002
0.015700012 176.0 0.0
0.015700012 176.0 0.002
0.015700012 176.0 0.004
-0.017299995 176.0 0.006
-0.017299995 176.0 0.008
-0.016800001 176.0 0.010000001
-0.016800001 176.0 0.012
-0.016800001 176.0 0.014
-0.017100006 176.0 0.016
-0.017100006 176.0 0.018000001
-0.017299995 176.0 0.020000001
-0.017299995 176.0 0.022000002
-0.016300008 176.0 0.024
-0.016300008 176.0 0.026
-0.017000005 176.0 0.028
-0.017000005 176.0 0.030000001
-0.017000005 176.0 0.032
-0.017100006 176.0 0.034
-0.017100006 176.0 0.036000002
-0.017200008 176.0 0.038000003
-0.017200008 176.0 0.040000003
-0.016599998 176.0 0.042000003
-0.016599998 176.0 0.044000003
-0.016599998 176.0 0.046000004
0.7043 176.0 0.048
0.7039 176.0 0.05
0.7045 184.0 0.052
0.7043 184.0 0.05
0.7036 184.0 0.048
0.7036 184.0 0.046000004
0.7036 184.0 0.044000003
-0.019600004 184.0 0.042000003
-0.019600004 184.0 0.040000003
-0.0194 184.0 0.038000003
-0.019000009 184.0 0.036000002
-0.019000009 184.0 0.034
-0.019000009 184.0 0.032
-0.019500002 184.0 0.030000001
-0.019500002 184.0 0.028
-0.019700006 184.0 0.026
-0.019700006 184.0 0.024
-0.019099995 184.0 0.022000002
-0.019099995 184.0 0.020000001
-0.018600002 184.0 0.018000001
-0.018600002 184.0 0.016
-0.018900007 184.0 0.014
-0.018900007 184.0 0.012
-0.018900007 184.0 0.010000001
-0.019000009 184.0 0.008
-0.019000009 184.0 0.006
-0.019000009 184.0 0.004
0.017100006 184.0 0.002
0.01640001 192.0 0.0
0.01640001 192.0 0.002
-0.018000007 192.0 0.004
-0.018000007 192.0 0.006
-0.021400005 192.0 0.008
-0.021400005 192.0 0.010000001
-0.021400005 192.0 0.012
-0.020999998 192.0 0.014
-0.020999998 192.0 0.016
-0.021500006 192.0 0.018000001
-0.021500006 192.0 0.020000001
-0.021600008 192.0 0.022000002
-0.021600008 192.0 0.024
-0.021600008 192.0 0.026
-0.021899998 192.0 0.028
-0.021899998 192.0 0.030000001
-0.022100002 192.0 0.032
-0.022100002 192.0 0.034
-0.021500006 192.0 0.036000002
-0.021500006 192.0 0.038000003
-0.022 192.0 0.040000003
-0.022 192.0 0.042000003
-0.023300007 192.0 0.044000003
0.7038 192.0 0.046000004
0.7043 192.0 0.048
0.7044 192.0 0.05
0.7044 200.0 0.052
0.7041 200.0 0.05
0.7039 200.0 0.048
0.4421 200.0 0.046000004
0.4421 200.0 0.044000003
-0.024800003 200.0 0.042000003
-0.024800003 200.0 0.040000003
-0.02520001 200.0 0.038000003
-0.02520001 200.0 0.036000002
-0.02520001 200.0 0.034
-0.025000006 200.0 0.032
-0.025000006 200.0 0.030000001
-0.025000006 200.0 0.028
-0.024800003 200.0 0.026
-0.024800003 200.0 0.024
-0.024800003 200.0 0.022000002
-0.024800003 200.0 0.020000001
-0.024800003 200.0 0.018000001
-0.024200007 200.0 0.016
-0.024200007 200.0 0.014
-0.0247 200.0 0.012
-0.0247 200.0 0.010000001
-0.0247 200.0 0.008
-0.024800003 200.0 0.006
-0.024800003 200.0 0.004
0.01879999 200.0 0.002
0.0203 208.0 0.0
0.0203 208.0 0.002
-0.028300002 208.0 0.004
-0.028300002 208.0 0.006
-0.028300002 208.0 0.008
-0.026999995 208.0 0.010000001
-0.026999995 208.0 0.012
-0.027199998 208.0 0.014
-0.027199998 208.0 0.016
-0.027199998 208.0 0.018000001
-0.026700005 208.0 0.020000001
-0.026700005 208.0 0.022000002
-0.026700005 208.0 0.024
-0.027500004 208.0 0.026
-0.027500004 208.0 0.028
-0.027500004 208.0 0.030000001
-0.027600005 208.0 0.032
-0.027600005 208.0 0.034
-0.027600005 208.0 0.036000002
-0.0282 208.0 0.038000003
-0.0282 208.0 0.040000003
-0.028500006 208.0 0.042000003
-0.028500006 208.0 0.044000003
-0.028500006 208.0 0.046000004
0.7043 208.0 0.048
0.70419997 216.0 0.052
0.7043 216.0 0.05
0.70419997 216.0 0.048
0.70419997 216.0 0.046000004
0.70419997 216.0 0.044000003
0.70419997 216.0 0.042000003
-0.030499995 216.0 0.040000003
-0.030499995 216.0 0.038000003
-0.030499995 216.0 0.036000002
-0.030900002 216.0 0.034
-0.030900002 216.0 0.032
-0.030900002 216.0 0.030000001
-0.030499995 216.0 0.028
-0.030499995 216.0 0.026
-0.030699998 216.0 0.024
-0.030699998 216.0 0.022000002
-0.030699998 216.0 0.020000001
-0.030300006 216.0 0.018000001
-0.030300006 216.0 0.016
-0.030300006 216.0 0.014
-0.030000001 216.0 0.012
-0.030000001 216.0 0.010000001
-0.030000001 216.0 0.008
-0.03130001 216.0 0.006
-0.03130001 216.0 0.004
-0.0291 216.0 0.002
-0.03310001 224.0 0.0
-0.0335 224.0 0.002
-0.0335 224.0 0.004
-0.034099996 224.0 0.006
-0.034099996 224.0 0.008
-0.033000007 224.0 0.010000001
-0.033000007 224.0 0.012
-0.033000007 224.0 0.014
-0.03400001 224.0 0.016
-0.03400001 224.0 0.018000001
-0.03400001 224.0 0.020000001
-0.03400001 224.0 0.022000002
-0.03400001 224.0 0.024
-0.03310001 224.0 0.026
-0.03310001 224.0 0.028
-0.03310001 224.0 0.030000001
-0.032800004 224.0 0.032
-0.032800004 224.0 0.034
-0.032800004 224.0 0.036000002
-0.03310001 224.0 0.038000003
-0.03310001 224.0 0.040000003
-0.033900008 224.0 0.042000003
-0.033900008 224.0 0.044000003
0.7043 224.0 0.046000004
0.70419997 224.0 0.048
0.7043 224.0 0.05
0.7043 232.0 0.052
0.7043 232.0 0.05
0.7063 232.0 0.048
0.7063 232.0 0.046000004
0.7063 232.0 0.044000003
0.7063 232.0 0.042000003
-0.035600007 232.0 0.040000003
-0.035600007 232.0 0.038000003
-0.035799995 232.0 0.036000002
-0.035799995 232.0 0.034
-0.035799995 232.0 0.032
-0.035799995 232.0 0.030000001
-0.035799995 232.0 0.028
-0.035099998 232.0 0.026
-0.035099998 232.0 0.024
-0.035099998 232.0 0.022000002
-0.035799995 232.0 0.020000001
-0.035799995 232.0 0.018000001
-0.035899997 232.0 0.016
-0.035899997 232.0 0.014
-0.035899997 232.0 0.012
-0.036300004 232.0 0.010000001
-0.036300004 232.0 0.008
-0.036400005 232.0 0.006
-0.036400005 232.0 0.004
-0.0466 240.0 0.0
-0.04280001 240.0 0.002
-0.04280001 240.0 0.004
-0.0387 240.0 0.006
-0.0387 240.0 0.008
-0.037699997 240.0 0.010000001
-0.037699997 240.0 0.012
-0.038499996 240.0 0.014
-0.038499996 240.0 0.016
-0.038300008 240.0 0.018000001
-0.038300008 240.0 0.020000001
-0.038000003 240.0 0.022000002
-0.038000003 240.0 0.024
-0.0378 240.0 0.026
-0.0378 240.0 0.028
-0.0378 240.0 0.030000001
-0.0378 240.0 0.032
-0.0378 240.0 0.034
-0.038200006 240.0 0.036000002
-0.038200006 240.0 0.038000003
-0.038300008 240.0 0.040000003
-0.038300008 240.0 0.042000003
-0.039299995 240.0 0.044000003
0.7041 240.0 0.046000004
0.7043 240.0 0.048
0.70419997 240.0 0.05
0.7043 248.0 0.052
